	Chemical name	Internal compound ID	Compound Class	PubChem CID	PUBCHEM_isosmiles
1156	Olopatadine hydrochloride	PW15-D8	pharmaceutical drugs	5281071	CN(C)CC/C=C\1/C2=CC=CC=C2COC3=C1C=C(C=C3)CC(=O)O
1157	Granisetron	PW15-D9	pharmaceutical drugs	5284566	CN1[C@@H]2CCC[C@H]1CC(C2)NC(=O)C3=NN(C4=CC=CC=C43)C
1158	Anthralin	PW15-D10	pharmaceutical drugs	2202	C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC=C3O
1159	Lamotrigine	PW15-D11	pharmaceutical drugs	3878	C1=CC(=C(C(=C1)Cl)Cl)C2=C(N=C(N=N2)N)N
1160	Clofibrate	PW15-E2	pharmaceutical drugs	2796	CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl
1161	Dexrazoxane hydrochloride	PW15-E3	pharmaceutical drugs	71384	C[C@@H](CN1CC(=O)NC(=O)C1)N2CC(=O)NC(=O)C2
1162	Aripiprazole	PW15-E4	pharmaceutical drugs	60795	C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl
1163	Ethinylestradiol	PW15-E5	pharmaceutical drugs	5991	C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)O
1164	Fluocinolone acetonide	PW15-E6	pharmaceutical drugs	6215	C[C@]12C[C@@H]([C@]3([C@H]([C@@H]1C[C@@H]4[C@]2(OC(O4)(C)C)C(=O)CO)C[C@@H](C5=CC(=O)C=C[C@@]53C)F)F)O
1165	Sparfloxacin	PW15-E7	pharmaceutical drugs	60464	C[C@@H]1CN(C[C@@H](N1)C)C2=C(C(=C3C(=C2F)N(C=C(C3=O)C(=O)O)C4CC4)N)F
1166	Desloratadine	PW15-E8	pharmaceutical drugs	124087	C1CC2=C(C=CC(=C2)Cl)C(=C3CCNCC3)C4=C1C=CC=N4
1167	Clarithromycin	PW15-E9	pharmaceutical drugs	84029	CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)OC)C)C)O)(C)O
1168	Tripelennamine hydrochloride	PW15-E10	pharmaceutical drugs	5587	CN(C)CCN(CC1=CC=CC=C1)C2=CC=CC=N2
1170	Topotecan	PW15-F2	pharmaceutical drugs	60700	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=C(C=CC(=C5CN(C)C)O)N=C4C3=C2)O
1171	Atorvastatin	PW15-F3	pharmaceutical drugs	60823	CC(C)C1=C(C(=C(N1CC[C@H](C[C@H](CC(=O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4
1172	Azithromycin	PW15-F4	pharmaceutical drugs	6324605	CC[C@@H]1[C@@]([C@@H]([C@H](N(C[C@@H](CC([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O
1173	Ibudilast	PW15-F5	pharmaceutical drugs	3671	CC(C)C1=NN2C=CC=CC2=C1C(=O)C(C)C
1174	Losartan	PW15-F6	pharmaceutical drugs	3961	CCCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)CO)Cl
1175	Benztropine mesylate	PW15-F7	pharmaceutical drugs	1201549	CN1[C@@H]2CC[C@H]1CC(C2)OC(C3=CC=CC=C3)C4=CC=CC=C4
1176	Vecuronium bromide	PW15-F8	pharmaceutical drugs	39765	CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@@H]([C@]2(C[C@@H]1N4CCCCC4)C)CC[C@]5([C@H]3C[C@@H]([C@@H]5OC(=O)C)[N+]6(CCCCC6)C)C
1177	Telmisartan	PW15-F9	pharmaceutical drugs	65999	CCCC1=NC2=C(N1CC3=CC=C(C=C3)C4=CC=CC=C4C(=O)O)C=C(C=C2C)C5=NC6=CC=CC=C6N5C
1178	Nalmefene hydrochloride	PW15-F10	pharmaceutical drugs	5284594	C=C1CC[C@]2([C@H]3CC4=C5[C@]2([C@H]1OC5=C(C=C4)O)CCN3CC6CC6)O
1179	Bifonazole	PW15-F11	pharmaceutical drugs	2378	C1=CC=C(C=C1)C2=CC=C(C=C2)C(C3=CC=CC=C3)N4C=CN=C4
1180	Gatifloxacin	PW15-G2	pharmaceutical drugs	5379	CC1CN(CCN1)C2=C(C=C3C(=C2OC)N(C=C(C3=O)C(=O)O)C4CC4)F
1181	Bosentan	PW15-G3	pharmaceutical drugs	104865	CC(C)(C)C1=CC=C(C=C1)S(=O)(=O)NC2=C(C(=NC(=N2)C3=NC=CC=N3)OCCO)OC4=CC=CC=C4OC
1182	Gemcitabine	PW15-G4	pharmaceutical drugs	60750	C1=CN(C(=O)N=C1N)[C@H]2C([C@@H]([C@H](O2)CO)O)(F)F
1183	Olmesartan	PW15-G5	pharmaceutical drugs	130881	CCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)C(=O)OCC5=C(OC(=O)O5)C)C(C)(C)O
1184	Racepinephrine hydrochloride	PW15-G6	pharmaceutical drugs	838	CNCC(C1=CC(=C(C=C1)O)O)O
1185	Montelukast	PW15-G7	pharmaceutical drugs	5281040	CC(C)(C1=CC=CC=C1CC[C@H](C2=CC=CC(=C2)/C=C/C3=NC4=C(C=CC(=C4)Cl)C=C3)SCC5(CC5)CC(=O)O)O
1186	Docetaxel	PW15-G8	pharmaceutical drugs	11970251	CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O
1187	Cilnidipine	PW15-G9	pharmaceutical drugs	5282138	CC1=C(C(C(=C(N1)C)C(=O)OC/C=C/C2=CC=CC=C2)C3=CC(=CC=C3)[N+](=O)[O-])C(=O)OCCOC
1188	Imiquimod	PW15-G10	pharmaceutical drugs	57469	CC(C)CN1C=NC2=C1C3=CC=CC=C3N=C2N
1189	Fosinopril	PW15-G11	pharmaceutical drugs	55891	CCC(=O)OC(C(C)C)OP(=O)(CCCCC1=CC=CC=C1)CC(=O)N2C[C@@H](C[C@H]2C(=O)O)C3CCCCC3
1190	Imatinib	PW15-H2	pharmaceutical drugs	5291	CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5
1191	Moxifloxacin	PW15-H3	pharmaceutical drugs	152946	COC1=C2C(=CC(=C1N3C[C@@H]4CCCN[C@@H]4C3)F)C(=O)C(=CN2C5CC5)C(=O)O
1192	Formoterol fumarate	PW15-H4	pharmaceutical drugs	44483332	C[C@@H](CC1=CC=C(C=C1)OC)NC[C@H](C2=CC(=C(C=C2)O)NC=O)O.C[C@@H](CC1=CC=C(C=C1)OC)NC[C@H](C2=CC(=C(C=C2)O)NC=O)O
1193	Rufloxacin	PW15-H5	pharmaceutical drugs	58258	CN1CCN(CC1)C2=C(C=C3C4=C2SCCN4C=C(C3=O)C(=O)O)F
1194	Pravastatin	PW15-H6	pharmaceutical drugs	54687	CC[C@H](C)C(=O)O[C@H]1C[C@@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@H](C[C@H](CC(=O)O)O)O)O
1195	Rosiglitazone hydrochloride	PW15-H7	pharmaceutical drugs	77999	CN(CCOC1=CC=C(C=C1)CC2C(=O)NC(=O)S2)C3=CC=CC=N3
1196	Rivastigmine	PW15-H8	pharmaceutical drugs	77991	CCN(C)C(=O)OC1=CC=CC(=C1)[C@H](C)N(C)C
1197	Sildenafil	PW15-H9	pharmaceutical drugs	135398744	CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C
1198	Acetylsalicylic acid	PW15-H10	pharmaceutical drugs	2244	CC(=O)OC1=CC=CC=C1C(=O)O
1200	Nelfinavir mesylate	PW16-A2	pharmaceutical drugs	64143	CC1=C(C=CC=C1O)C(=O)N[C@@H](CSC2=CC=CC=C2)[C@@H](CN3C[C@H]4CCCC[C@H]4C[C@H]3C(=O)NC(C)(C)C)O
1201	Silodosin	PW16-A3	pharmaceutical drugs	5312125	C[C@H](CC1=CC2=C(C(=C1)C(=O)N)N(CC2)CCCO)NCCOC3=CC=CC=C3OCC(F)(F)F
1202	Trimebutine	PW16-A4	pharmaceutical drugs	5573	CCC(COC(=O)C1=CC(=C(C(=C1)OC)OC)OC)(C2=CC=CC=C2)N(C)C
1203	Nevirapine	PW16-A5	pharmaceutical drugs	4463	CC1=C2C(=NC=C1)N(C3=C(C=CC=N3)C(=O)N2)C4CC4
1204	Doxapram hydrochloride	PW16-A6	pharmaceutical drugs	3156	CCN1CC(C(C1=O)(C2=CC=CC=C2)C3=CC=CC=C3)CCN4CCOCC4
1205	Amlexanox	PW16-A7	pharmaceutical drugs	2161	CC(C)C1=CC2=C(C=C1)OC3=NC(=C(C=C3C2=O)C(=O)O)N
1206	Amorolfine hydrochloride	PW16-A8	pharmaceutical drugs	54260	CCC(C)(C)C1=CC=C(C=C1)CC(C)CN2C[C@H](O[C@H](C2)C)C
1207	Enrofloxacin	PW16-A9	pharmaceutical drugs	71188	CCN1CCN(CC1)C2=C(C=C3C(=C2)N(C=C(C3=O)C(=O)O)C4CC4)F
1208	Ubenimex	PW16-A10	pharmaceutical drugs	72172	CC(C)C[C@@H](C(=O)O)NC(=O)[C@H]([C@@H](CC1=CC=CC=C1)N)O
1209	Troxipide	PW16-A11	pharmaceutical drugs	5597	COC1=CC(=CC(=C1OC)OC)C(=O)NC2CCCNC2
1210	Ipriflavone	PW16-B2	pharmaceutical drugs	3747	CC(C)OC1=CC2=C(C=C1)C(=O)C(=CO2)C3=CC=CC=C3
1211	Ezetimibe	PW16-B3	pharmaceutical drugs	150311	C1=CC(=CC=C1[C@@H]2[C@H](C(=O)N2C3=CC=C(C=C3)F)CC[C@@H](C4=CC=C(C=C4)F)O)O
1212	Rizatriptan benzoate	PW16-B4	pharmaceutical drugs	5078	CN(C)CCC1=CNC2=C1C=C(C=C2)CN3C=NC=N3
1213	Tegaserod maleate	PW16-B5	pharmaceutical drugs	135409452	CCCCCN=C(N)N/N=C\C1=CNC2=C1C=C(C=C2)OC
1214	Pantoprazole sodium	PW16-B6	pharmaceutical drugs	21592210	COC1=C(C(=NC=C1)CS(=O)C2=NC3=C([N-]2)C=CC(=C3)OC(F)F)OC
1215	Tegafur	PW16-B7	pharmaceutical drugs	5386	C1CC(OC1)N2C=C(C(=O)NC2=O)F
1216	Tolcapone	PW16-B8	pharmaceutical drugs	4659569	CC1=CC=C(C=C1)C(=O)C2=CC(=C(C(=C2)O)O)[N+](=O)[O-]
1217	Altrenogest	PW16-B9	pharmaceutical drugs	10041070	C[C@]12C=CC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@]2(CC=C)O
1218	Felbamate	PW16-B10	pharmaceutical drugs	3331	C1=CC=C(C=C1)C(COC(=O)N)COC(=O)N
1219	Estramustine	PW16-B11	pharmaceutical drugs	259331	C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)OC(=O)N(CCCl)CCCl
1220	(R)-Duloxetine hydrochloride	PW16-C2	pharmaceutical drugs	10334821	CNCC[C@H](C1=CC=CS1)OC2=CC=CC3=CC=CC=C32
1221	Donepezil hydrochloride	PW16-C3	pharmaceutical drugs	3152	COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC
1222	Danthron	PW16-C4	pharmaceutical drugs	2950	C1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=CC=C3O
1223	Nitazoxanide	PW16-C5	pharmaceutical drugs	41684	CC(=O)OC1=CC=CC=C1C(=O)NC2=NC=C(S2)[N+](=O)[O-]
1224	Nateglinide	PW16-C6	pharmaceutical drugs	5311309	CC(C)C1CCC(CC1)C(=O)N[C@H](CC2=CC=CC=C2)C(=O)O
1225	Avobenzone	PW16-C7	pharmaceutical drugs	51040	CC(C)(C)C1=CC=C(C=C1)C(=O)CC(=O)C2=CC=C(C=C2)OC
1226	Algestone acetophenide	PW16-C8	pharmaceutical drugs	102011	CC(=O)[C@@]12[C@@H](C[C@@H]3[C@@]1(CC[C@H]4[C@H]3CCC5=CC(=O)CC[C@]45C)C)OC(O2)(C)C6=CC=CC=C6
1227	Actarit	PW16-C9	pharmaceutical drugs	2018	CC(=O)NC1=CC=C(C=C1)CC(=O)O
1228	Ethoxzolamide	PW16-C10	pharmaceutical drugs	3295	CCOC1=CC2=C(C=C1)N=C(S2)S(=O)(=O)N
1229	Azatadine maleate	PW16-C11	pharmaceutical drugs	19861	CN1CCC(=C2C3=CC=CC=C3CCC4=C2N=CC=C4)CC1
1230	Aminacrine	PW16-D2	pharmaceutical drugs	7019	C1=CC=C2C(=C1)C(=C3C=CC=CC3=N2)N
1231	Pidotimod	PW16-D3	pharmaceutical drugs	65944	C1CC(=O)N[C@@H]1C(=O)N2CSC[C@H]2C(=O)O
1232	Benidipine hydrochloride	PW16-D4	pharmaceutical drugs	656668	CC1=C([C@H](C(=C(N1)C)C(=O)O[C@@H]2CCCN(C2)CC3=CC=CC=C3)C4=CC(=CC=C4)[N+](=O)[O-])C(=O)OC
1233	Perospirone hydrochloride	PW16-D5	pharmaceutical drugs	115368	C1CC[C@H]2[C@@H](C1)C(=O)N(C2=O)CCCCN3CCN(CC3)C4=NSC5=CC=CC=C54
1234	Cefpiramide	PW16-D6	pharmaceutical drugs	636405	CC1=CC(=O)C(=CN1)C(=O)N[C@H](C2=CC=C(C=C2)O)C(=O)N[C@H]3[C@@H]4N(C3=O)C(=C(CS4)CSC5=NN=NN5C)C(=O)O
1235	Fenoldopam	PW16-D7	pharmaceutical drugs	3341	C1CNCC(C2=CC(=C(C(=C21)Cl)O)O)C3=CC=C(C=C3)O
1236	Adapalene	PW16-D8	pharmaceutical drugs	60164	COC1=C(C=C(C=C1)C2=CC3=C(C=C2)C=C(C=C3)C(=O)O)C45CC6CC(C4)CC(C6)C5
1237	Diatrizoic acid dihydrate	PW16-D9	pharmaceutical drugs	2140	CC(=O)NC1=C(C(=C(C(=C1I)C(=O)O)I)NC(=O)C)I
1238	Dofetilide	PW16-D10	pharmaceutical drugs	71329	CN(CCC1=CC=C(C=C1)NS(=O)(=O)C)CCOC2=CC=C(C=C2)NS(=O)(=O)C
1239	Phenprobamate	PW16-D11	pharmaceutical drugs	4770	C1=CC=C(C=C1)CCCOC(=O)N
1240	Cefuroxime axetil	PW16-E2	pharmaceutical drugs	5361467	CC(OC(=O)C)OC(=O)C1=C(CS[C@H]2N1C(=O)[C@H]2NC(=O)/C(=N/OC)/C3=CC=CO3)COC(=O)N
1241	Anagrelide	PW16-E3	pharmaceutical drugs	135409400	C1C2=C(C=CC(=C2Cl)Cl)N=C3N1CC(=O)N3
1242	Clopidogrel	PW16-E4	pharmaceutical drugs	60606	COC(=O)[C@H](C1=CC=CC=C1Cl)N2CCC3=C(C2)C=CS3
1243	Benzoxiquine	PW16-E5	pharmaceutical drugs	6855	C1=CC=C(C=C1)C(=O)OC2=CC=CC3=C2N=CC=C3
1244	Phenothiazine	PW16-E6	pharmaceutical drugs	7108	C1=CC=C2C(=C1)NC3=CC=CC=C3S2
1245	Enalaprilat dihydrate	PW16-E7	pharmaceutical drugs	5462501	C[C@@H](C(=O)N1CCC[C@H]1C(=O)O)N[C@@H](CCC2=CC=CC=C2)C(=O)O
1246	Pregabalin	PW16-E8	pharmaceutical drugs	5486971	CC(C)C[C@@H](CC(=O)O)CN
1247	Dolutegravir	PW16-E9	pharmaceutical drugs	54726191	C[C@@H]1CCO[C@@H]2N1C(=O)C3=C(C(=O)C(=CN3C2)C(=O)NCC4=C(C=C(C=C4)F)F)O
1248	Zoledronic acid hydrate	PW16-E10	pharmaceutical drugs	68740	C1=CN(C=N1)CC(O)(P(=O)(O)O)P(=O)(O)O
1249	Cefpodoxime proxetil	PW16-E11	pharmaceutical drugs	6321414	CC(C)OC(=O)OC(C)OC(=O)C1=C(CS[C@H]2N1C(=O)[C@H]2NC(=O)/C(=N/OC)/C3=CSC(=N3)N)COC
1250	Irbesartan	PW16-F2	pharmaceutical drugs	3749	CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5
1251	Indinavir sulfate	PW16-F3	pharmaceutical drugs	5362440	CC(C)(C)NC(=O)[C@@H]1CN(CCN1C[C@H](C[C@@H](CC2=CC=CC=C2)C(=O)N[C@@H]3[C@@H](CC4=CC=CC=C34)O)O)CC5=CN=CC=C5
1252	Terbinafine	PW16-F4	pharmaceutical drugs	1549008	CC(C)(C)C#C/C=C/CN(C)CC1=CC=CC2=CC=CC=C21
1253	Histamine dihydrochloride	PW16-F5	pharmaceutical drugs	774	C1=C(NC=N1)CCN
1254	Rasagiline	PW16-F6	pharmaceutical drugs	3052776	C#CCN[C@@H]1CCC2=CC=CC=C12
1255	Flumethasone pivalate	PW16-F7	pharmaceutical drugs	443980	C[C@@H]1C[C@H]2[C@@H]3C[C@@H](C4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)COC(=O)C(C)(C)C)O)C)O)F)C)F
1256	Lofepramine	PW16-F8	pharmaceutical drugs	3947	CN(CCCN1C2=CC=CC=C2CCC3=CC=CC=C31)CC(=O)C4=CC=C(C=C4)Cl
1257	Valdecoxib	PW16-F9	pharmaceutical drugs	119607	CC1=C(C(=NO1)C2=CC=CC=C2)C3=CC=C(C=C3)S(=O)(=O)N
1258	Besifloxacin hydrochloride	PW16-F10	pharmaceutical drugs	10178705	C1CCN(C[C@@H](C1)N)C2=C(C=C3C(=C2Cl)N(C=C(C3=O)C(=O)O)C4CC4)F
1259	Ritonavir	PW16-F11	pharmaceutical drugs	392622	CC(C)C1=NC(=CS1)CN(C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC2=CC=CC=C2)C[C@@H]([C@H](CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)O
1260	Epirubicin hydrochloride	PW16-G2	pharmaceutical drugs	151537	C[C@H]1[C@@H]([C@H](C[C@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O
1261	Loteprednol etabonate	PW16-G3	pharmaceutical drugs	444025	CCOC(=O)O[C@@]1(CC[C@@H]2[C@@]1(C[C@@H]([C@H]3[C@H]2CCC4=CC(=O)C=C[C@]34C)O)C)C(=O)OCCl
1262	Tolterodine tartrate	PW16-G4	pharmaceutical drugs	443879	CC1=CC(=C(C=C1)O)[C@H](CCN(C(C)C)C(C)C)C2=CC=CC=C2
1263	Lomerizine dihydrochloride	PW16-G5	pharmaceutical drugs	3949	COC1=C(C(=C(C=C1)CN2CCN(CC2)C(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F)OC)OC
1264	Ampiroxicam	PW16-G6	pharmaceutical drugs	2176	CCOC(=O)OC(C)OC1=C(N(S(=O)(=O)C2=CC=CC=C21)C)C(=O)NC3=CC=CC=N3
1265	Alosetron hydrochloride	PW16-G7	pharmaceutical drugs	2099	CC1=C(N=CN1)CN2CCC3=C(C2=O)C4=CC=CC=C4N3C
1266	Risedronic acid monohydrate	PW16-G8	pharmaceutical drugs	5245	C1=CC(=CN=C1)CC(O)(P(=O)(O)O)P(=O)(O)O
1267	Palonosetron hydrochloride	PW16-G9	pharmaceutical drugs	6337614	C1C[C@@H]2CN(C(=O)C3=CC=CC(=C23)C1)[C@@H]4CN5CCC4CC5
1268	Oxymetholone	PW16-G10	pharmaceutical drugs	3032303	C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C)O)CC[C@@H]4[C@@]3(C/C(=C\O)/C(=O)C4)C
1269	Latanoprost	PW16-G11	pharmaceutical drugs	5311221	CC(C)OC(=O)CCC/C=C\C[C@H]1[C@H](C[C@H]([C@@H]1CC[C@H](CCC2=CC=CC=C2)O)O)O
1270	Cisatracurium besylate	PW16-H2	pharmaceutical drugs	62887	C[N@@+]1(CCC2=CC(=C(C=C2[C@H]1CC3=CC(=C(C=C3)OC)OC)OC)OC)CCC(=O)OCCCCCOC(=O)CC[N@+]4(CCC5=CC(=C(C=C5[C@H]4CC6=CC(=C(C=C6)OC)OC)OC)OC)C
1271	Pemetrexed disodium	PW16-H3	pharmaceutical drugs	135916113	C1=CC(=CC=C1CCC2=CNC3=C2C(=O)NC(=N3)N)C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-]
1272	Raltitrexed	PW16-H4	pharmaceutical drugs	135400182	CC1=NC2=C(C=C(C=C2)CN(C)C3=CC=C(S3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)C(=O)N1
1273	Ceftibuten	PW16-H5	pharmaceutical drugs	5282242	C1C=C(N2[C@H](S1)[C@@H](C2=O)NC(=O)/C(=C\CC(=O)O)/C3=CSC(=N3)N)C(=O)O
1274	Valsartan	PW16-H6	pharmaceutical drugs	60846	CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)[C@@H](C(C)C)C(=O)O
1275	Milnacipran hydrochloride	PW16-H7	pharmaceutical drugs	65833	CCN(CC)C(=O)[C@@]1(C[C@@H]1CN)C2=CC=CC=C2
1276	Triclabendazole	PW16-H8	pharmaceutical drugs	50248	CSC1=NC2=CC(=C(C=C2N1)Cl)OC3=C(C(=CC=C3)Cl)Cl
1277	Brimonidine L-tartrate	PW16-H9	pharmaceutical drugs	2435	C1CN=C(N1)NC2=C(C3=NC=CN=C3C=C2)Br
1278	Desonide	PW16-H10	pharmaceutical drugs	5311066	C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1C[C@@H]4[C@]2(OC(O4)(C)C)C(=O)CO)CCC5=CC(=O)C=C[C@]35C)O
1279	Cefprozil	PW16-H11	pharmaceutical drugs	5281006	C/C=C/C1=C(N2[C@@H]([C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)SC1)C(=O)O
1280	Phenyl salicylate	PW17-A3	pharmaceutical drugs	8361	C1=CC=C(C=C1)OC(=O)C2=CC=CC=C2O
1282	Flupentixol dihydrochloride cis-(Z)	PW17-A5	pharmaceutical drugs	5281881	C1CN(CCN1CC/C=C\2/C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO
1283	Cephalexin monohydrate	PW17-A6	pharmaceutical drugs	27447	CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)SC1)C(=O)O
1284	Cholecalciferol	PW17-A7	pharmaceutical drugs	5280795	C[C@H](CCCC(C)C)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](CCC3=C)O)C
1285	Methylene blue	PW17-A8	pharmaceutical drugs	4139	CN(C)C1=CC2=C(C=C1)N=C3C=CC(=[N+](C)C)C=C3S2
1286	Gramicidin	PW17-A9	pharmaceutical drugs	16130140	C[C@@H](C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC1=CNC2=CC=CC=C21)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC3=CNC4=CC=CC=C43)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC5=CNC6=CC=CC=C65)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC7=CNC8=CC=CC=C87)C(=O)NCCO)NC(=O)CNC(=O)[C@H](C(C)C)NC=O
1287	Levocarnitine	PW17-A10	pharmaceutical drugs	288	C[N+](C)(C)CC(CC(=O)[O-])O
1288	DO 897/99	PW17-A11	pharmaceutical drugs	3038495	COC1=CC=CC=C1N2CCN(CC2)CCCCNC(=O)C3=CC4=CC=CC=C4C=C3
1290	Ebselen	PW17-B3	pharmaceutical drugs	3194	C1=CC=C(C=C1)N2C(=O)C3=CC=CC=C3[Se]2
1291	Cefamandole sodium salt	PW17-B4	pharmaceutical drugs	21680723	CN1C(=NN=N1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)[C@@H](C4=CC=CC=C4)O)SC2)C(=O)[O-]
1292	Rolipram	PW17-B5	pharmaceutical drugs	5092	COC1=C(C=C(C=C1)C2CC(=O)NC2)OC3CCCC3
1293	Tiletamine hydrochloride	PW17-B6	pharmaceutical drugs	26533	CCNC1(CCCCC1=O)C2=CC=CS2
1294	Netilmicin sulfate	PW17-B7	pharmaceutical drugs	441306	CCN[C@@H]1C[C@@H]([C@H]([C@@H]([C@H]1O[C@@H]2[C@@H]([C@H]([C@@](CO2)(C)O)NC)O)O)O[C@@H]3[C@@H](CC=C(O3)CN)N)N
1295	Loracarbef	PW17-B8	pharmaceutical drugs	5284585	C1CC(=C(N2[C@H]1[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)C(=O)O)Cl
1296	Cyclacillin	PW17-B9	pharmaceutical drugs	19003	CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)C3(CCCCC3)N)C(=O)O)C
1297	Thimerosal	PW17-B10	pharmaceutical drugs	16684927	CC[Hg]SC1=CC=CC=C1C(=O)[O-]
1298	Clindamycin Phosphate	PW17-B11	pharmaceutical drugs	446598	CCC[C@@H]1C[C@H](N(C1)C)C(=O)N[C@@H]([C@@H]2[C@@H]([C@@H]([C@H]([C@H](O2)SC)O)O)O)[C@H](C)Cl
1299	Lapatinib	PW17-C2	pharmaceutical drugs	208908	CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl
1300	Clodronate disodium	PW17-C3	pharmaceutical drugs	4668904	C(P(=O)(O)[O-])(P(=O)(O)[O-])(Cl)Cl
1301	Mevastatin	PW17-C4	pharmaceutical drugs	64715	CC[C@H](C)C(=O)O[C@H]1CCC=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O
1302	Entecavir	PW17-C5	pharmaceutical drugs	135398508	C=C1[C@H](C[C@@H]([C@H]1CO)O)N2C=NC3=C2N=C(NC3=O)N
1303	Cyclophosphamide	PW17-C6	pharmaceutical drugs	2907	C1CNP(=O)(OC1)N(CCCl)CCCl
1304	Quinine ethyl carbonate	PW17-C7	pharmaceutical drugs	5702001	CCOC(=O)O[C@H]([C@H]1C[C@@H]2CCN1C[C@@H]2C=C)C3=C4C=C(C=CC4=NC=C3)OC
1305	Edaravone	PW17-C8	pharmaceutical drugs	4021	CC1=NN(C(=O)C1)C2=CC=CC=C2
1306	Timonacic	PW17-C9	pharmaceutical drugs	9934	C1C(NCS1)C(=O)O
1307	Tioxolone	PW17-C10	pharmaceutical drugs	72139	C1=CC2=C(C=C1O)OC(=O)S2
1308	Metacetamol	PW17-C11	pharmaceutical drugs	12124	CC(=O)NC1=CC(=CC=C1)O
1309	Efaroxan hydrochloride	PW17-D2	pharmaceutical drugs	72016	CCC1(CC2=CC=CC=C2O1)C3=NCCN3
